ID,Age,Gender,Angry,Disgust,Fear,Happy,Sad,Surprised,Neutral,Style1,VStyle1,Style2,VStyle2,Style3,VStyle3
434b1bdf,25,Male,0.038484578,0.002748577,0.085553312,0.029259889,0.511334534,0.018372414,0.314246655,Casual,0.170203296,Business,0.148116842,Bohemian,0.146014129
acb77ecd,24,Male,0.048976345,2.67E-05,0.034255981,0.003974212,0.04939075,0.019715236,0.843660736,Business,0.128815276,Casual,0.123006043,Eclectic,0.11360201
1363d453,24,Male,0.048976345,2.67E-05,0.034255981,0.003974212,0.04939075,0.019715236,0.843660736,Business,0.128815276,Casual,0.123006043,Eclectic,0.11360201
815f5004,24,Male,0.048976345,2.67E-05,0.034255981,0.003974212,0.04939075,0.019715236,0.843660736,Business,0.128815276,Casual,0.123006043,Eclectic,0.11360201
b926a1c7,28,Male,0.077542596,3.15E-06,0.024545979,0.019170052,0.059440842,0.009987055,0.809310303,Casual,0.160840199,Eclectic,0.125352544,Romantic,0.118805856
b3e022be,22,Male,0.085170422,4.84E-05,0.068252034,0.002770174,0.212874794,0.002038156,0.628846092,Casual,0.189528327,Eclectic,0.136043643,Business,0.122487313
6d24431d,22,Male,0.085170422,4.84E-05,0.068252034,0.002770174,0.212874794,0.002038156,0.628846092,Casual,0.189528327,Eclectic,0.136043643,Business,0.122487313
61bb253d,22,Male,0.085170422,4.84E-05,0.068252034,0.002770174,0.212874794,0.002038156,0.628846092,Casual,0.189528327,Eclectic,0.136043643,Business,0.122487313
26c5ec3c,27,Female,0.000401974,3.07E-05,0.000223721,0.992366104,0.000147152,0.005422061,0.001408283,Eclectic,0.151307833,Bohemian,0.138781657,Denim,0.137271241
acc4ed0c,27,Female,0.000401974,3.07E-05,0.000223721,0.992366104,0.000147152,0.005422061,0.001408283,Eclectic,0.151307833,Bohemian,0.138781657,Denim,0.137271241
68c26a33,27,Female,0.000401974,3.07E-05,0.000223721,0.992366104,0.000147152,0.005422061,0.001408283,Eclectic,0.151307833,Bohemian,0.138781657,Denim,0.137271241
973bfc9f,27,Female,0.000401974,3.07E-05,0.000223721,0.992366104,0.000147152,0.005422061,0.001408283,Eclectic,0.151307833,Bohemian,0.138781657,Denim,0.137271241
f088e3f4,38,Male,0.2817272,0.000600161,0.057821879,0.009813626,0.222885132,0.010518128,0.416633873,Casual,0.198630812,Bohemian,0.134686735,Romantic,0.101723474
42ea4b7e,38,Male,0.2817272,0.000600161,0.057821879,0.009813626,0.222885132,0.010518128,0.416633873,Casual,0.198630812,Bohemian,0.134686735,Romantic,0.101723474
bef530a6,38,Male,0.2817272,0.000600161,0.057821879,0.009813626,0.222885132,0.010518128,0.416633873,Casual,0.198630812,Bohemian,0.134686735,Romantic,0.101723474
8da668b6,25,Male,0.018823842,0.000954467,0.008431634,0.907071915,0.005645834,0.003197609,0.0558745,Outdoor,0.152740022,Eclectic,0.130114993,Business,0.113396089
abc95569,20,Male,0.051871781,0.007988577,0.046594477,0.007468622,0.257544212,0.004535912,0.623996429,Eclectic,0.145850742,Casual,0.121663377,Business,0.120563323
00cf213c,20,Male,0.051871781,0.007988577,0.046594477,0.007468622,0.257544212,0.004535912,0.623996429,Eclectic,0.145850742,Casual,0.121663377,Business,0.120563323
0214c9f5,20,Male,0.051871781,0.007988577,0.046594477,0.007468622,0.257544212,0.004535912,0.623996429,Eclectic,0.145850742,Casual,0.121663377,Business,0.120563323
f4e36eca,20,Male,0.051871781,0.007988577,0.046594477,0.007468622,0.257544212,0.004535912,0.623996429,Eclectic,0.145850742,Casual,0.121663377,Business,0.120563323
af2d52d5,25,Male,0.013690588,0.001316012,0.009447758,0.762021103,0.016732746,0.009616148,0.187175655,Business,0.174619485,Eclectic,0.135006283,Casual,0.109732167
f6630b51,22,Male,0.067677727,0.000465271,0.011592672,0.0015384,0.163991508,0.015563784,0.739170609,Bohemian,0.158698868,Eclectic,0.111952751,Casual,0.104352611
d0150e06,22,Male,0.067677727,0.000465271,0.011592672,0.0015384,0.163991508,0.015563784,0.739170609,Bohemian,0.158698868,Eclectic,0.111952751,Casual,0.104352611
de067b42,18,Male,0.103613701,0.012150499,0.034902349,0.023611264,0.335285797,0.001451382,0.488984985,Eclectic,0.13789625,Business,0.136922469,Casual,0.105931145
a93f2a6e,23,Male,0.077634611,0.000772365,0.101254463,0.006475422,0.414384689,0.001863291,0.397615204,Casual,0.139639452,Elegant,0.124722332,Business,0.105180151
7d5935bf,23,Male,0.077634611,0.000772365,0.101254463,0.006475422,0.414384689,0.001863291,0.397615204,Casual,0.139639452,Elegant,0.124722332,Business,0.105180151
52318659,23,Male,0.077634611,0.000772365,0.101254463,0.006475422,0.414384689,0.001863291,0.397615204,Casual,0.139639452,Elegant,0.124722332,Business,0.105180151
35b19645,22,Male,0.075285606,0.003381029,0.036928864,0.022142382,0.431838112,0.007484348,0.422939682,Eclectic,0.173982483,Bohemian,0.140368047,Business,0.092061004
c58af7d1,25,Male,0.02997493,0.001969494,0.103152256,0.072836623,0.666612473,0.005798045,0.119656172,Eclectic,0.157419981,Romantic,0.138396407,Bohemian,0.128764634
